lon,lat,Grade,ActiveTeams,InactiveTeams,School,Local District,Hosting,Grants,VIQC,VRC,Workshop,NumberofteamsVEXIQESLeague,EventDatesVEXIQESLeague,EventWebsiteVEXIQESLeague,NumberofteamsVEXIQMSLeague,EventDatesVEXIQMSLeague,EventWebsiteVEXIQMSLeague,NumberofteamsVEXIQESMSLeague,Event DatesVEXIQESMSLeague,EventWebsiteVEXIQESMSLeague,NumberofteamsVEXIQESTournament,EventDatesVEXIQESTournament,EventWebsiteVEXIQESTournament,NumberofteamsVEXIQMSTournament,EventDatesVEXIQMSTournament,EventWebsiteVEXIQESTournament,NumberofteamsVEXIQESMSTournament,EventDatesVEXIQESMSTournament,EventWebsiteVEXIQESMSTournament,workshopDates
-118.5122086821,34.031883879,Elementary,,,Canyon Charter Elementary School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.6168842631,34.2174175464,Elementary,,,Capistrano Avenue Elementary School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.2828571553,33.8225334197,Elementary,,,Caroldade Learning Community School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.3921510068,34.1412436556,Elementary,"86273E, 86273D, 86273C, 86273B, 86273A",,Carpenter Community Charter School,Northeast,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2755807181,33.8238636688,High,,,Carson High School ,South,,,,,Yes,,,,,,,,,,,,,,,,,,,
-118.2751348933,33.8327521143,Elementary,"18000B, 18000A",,Carson Street Elementary School,South,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.3195364809,34.0392921992,Elementary,,,Carson-Gore Academy of Environmental Studies,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.369197471,34.0597525194,Elementary,,,Carthay Center Elementary School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.2396557093,34.0644700303,Elementary,"70178B, 70178A",,Castelar Street Elementary School,Central,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.3982731828,34.0385069925,Elementary,,,Castle Heights Elementary School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.5474374173,34.2940374736,Elementary,"19010X, 19010V, 19010M, 19010G, 19010B, 19010A",,Castlebay Lane Elementary School,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2706749981,33.8116324345,Elementary,,,Catskill Avenue Elementary School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.2901945079,34.0642183415,Middle,,,Central Los Angeles Area New Middle School 3,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.319212553,33.9372273881,Elementary,,,Century Park Elementary School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.1675590572,34.0935802505,Elementary,"74277B, 74277A",,Cesar Chavez Elementary School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.4394675493,34.1665142962,Elementary,,,Chandler Learning Academy,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.3130406084,33.8957151882,Elementary,,,Chapman Elementary School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.3081375204,34.0704598164,Elementary,,,Charles H. Kim Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.4068230298,34.271925911,Middle,,,Charles Maclay Middle School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.2480943943,33.960984828,Middle,,,Charles R. Drew Middle School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.2816898535,33.9477851636,Elementary,"36550B, 36550A",,Charles W. Barrett Elementary School,South,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2797292659,34.0605882799,Elementary,,,Charles White Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.4196991537,34.0175181248,Elementary,26165R,,Charnock Road Elementary School,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.4395454523,34.2267399321,Elementary,,,Chase Street Elementary School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.6070201263,34.2580228482,Elementary,,,Chatsworth Park Elementary School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.3206440108,34.1060062994,Elementary,86891A,,Cheremoya Avenue Elementary School,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.1980551938,33.9862054854,Middle,,,Chester W. Nimitz Middle School,East ,,,,,,,,,,,,,,,,,,,,,,,,
-118.5630154521,34.1657685699,Elementary,,,Chime Institute Schwarzenegger Community School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.6119932215,34.2121656495,Middle,25207Z,,Christopher Columbus Middle School,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2113956697,34.0223080558,Elementary,76184A,,Christopher Dena Elementary School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.3536377224,34.0321357854,Elementary,,,Cienega Elementary School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.3153471333,33.9288609447,Elementary,"26371B, 26371A",,Cimarron Avenue Elementary School,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.1713173785,34.057150754,Elementary,,,City Terrace Elementary School,East,,,,,,,,,,,,,,,,,,,,,,,,
